"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 23, 2025 12:12:54 PM PST","24977935231","Order","S01-3165929-2493236","Axe-F-R-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","MARION","VA","24354","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 23, 2025 1:49:07 PM PST","24977935231","Order","S01-7852838-3472407","AXE-WS-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","HARTFORD","MI","49057","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 23, 2025 6:16:19 PM PST","24977935231","Order","S01-4810423-2622046","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","JOPLIN","MO","64801","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 23, 2025 10:08:35 PM PST","24977935231","Order","S01-1562800-2402818","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","NEWBURY","NH","03255","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 24, 2025 3:58:18 AM PST","24977935231","Amazon Fees","1bc1b649-924e-4f66-939a-cc2e130e6f40","","Coupon Performance Based Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","-8.26","0","0","0","-8.26"
"Nov 24, 2025 4:31:22 AM PST","24977935231","Amazon Fees","1bc1b649-924e-4f66-939a-cc2e130e6f40","","Coupon Participation Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","-5.00","0","0","0","-5.00"
"Nov 24, 2025 6:47:33 AM PST","24977935231","Order","111-5123622-7940215","Axe-F-R-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","LOOMIS","CA","95650","MarketplaceFacilitator","35.94","2.35","0","0","0","0","0","0","-3.59","0","-2.35","-4.85","-6.44","0","0","21.06"
"Nov 24, 2025 7:30:24 AM PST","24977935231","Order","114-3502665-7453852","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","WOODSTOCK","IL","60098","MarketplaceFacilitator","14.99","1.24","0","0","0","0","0","0","0","0","-1.24","-2.25","-6.44","0","0","6.30"
"Nov 24, 2025 9:02:05 AM PST","24977935231","Order","112-5186001-9233824","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","SWEETWATER","TX","79556","MarketplaceFacilitator","14.99","1.24","0","0","0","0","0","0","0","0","-1.24","-2.25","-5.68","0","0","7.06"
"Nov 24, 2025 9:02:05 AM PST","24977935231","Order","112-5186001-9233824","GB-CA-02-TIGER","Grumpy Bear Camping Hatchet with Tiger Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","SWEETWATER","TX","79556","MarketplaceFacilitator","14.99","1.24","0","0","0","0","0","0","0","0","-1.24","-2.25","-5.84","0","0","6.90"
"Nov 24, 2025 10:14:14 AM PST","24977935231","Order","S01-0756904-8278852","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","PENSACOLA","FL","32506","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
