"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Dec 23, 2025 7:27:04 AM PST","25187401591","Order","112-6679863-3861816","AXE-WS-S","Grumpy Bear 11"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","ASTORIA","SD","57213","MarketplaceFacilitator","29.99","1.26","0","0","0","0","0","0","0","0","-1.26","-4.50","-6.24","0","0","19.25"
"Dec 23, 2025 7:34:35 AM PST","25187401591","Order","114-5856118-4427421","Axe-F-R-S","Grumpy Bear 11"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","PULASKI","TN","38478","MarketplaceFacilitator","34.41","3.02","0","0","0","0","0","0","-3.44","0","-3.02","-4.65","-6.24","0","0","20.08"
"Dec 23, 2025 7:40:43 AM PST","25187401591","Order","114-5768685-7103447","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","SIKES","LA","71473","MarketplaceFacilitator","10.99","0.99","0","0","0","0","0","0","0","0","-0.99","-1.65","-6.44","0","0","2.90"
"Dec 23, 2025 7:43:27 AM PST","25187401591","Order","114-7787435-8838637","CP-A-K-U","Grumpy Bear Camping Axe & Sickle Set - Dual Outdoor Tools for Camping, Survival & Bushcraft | High Carbon Steel Camping Axe & Hatchet Combo | Black Ox","1","amazon.com","Standard Orders","Amazon","EUGENE","OR","97401","","14.99","0","0","0","0","0","0","0","0","0","0","-2.25","-5.84","0","0","6.90"
"Dec 23, 2025 7:53:36 AM PST","25187401591","Order","113-7263437-8340202","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","FORT WORTH","TX","76133","MarketplaceFacilitator","17.99","1.48","0","0","0","0","0","0","0","0","-1.48","-2.70","-5.68","0","0","9.61"
"Dec 23, 2025 7:57:33 AM PST","25187401591","Order","111-4062302-4710607","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","ROCKVILLE CENTRE","NY","11570","MarketplaceFacilitator","36.94","3.19","0","0","0","0","0","0","0","0","-3.19","-5.54","-6.44","0","0","24.96"
"Dec 23, 2025 8:01:39 AM PST","25187401591","Order","111-3953268-5679441","C-axe-01","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","coudersport","pa","16915","MarketplaceFacilitator","10.99","0.26","0.50","0","0","0","0","0","-0.50","0","-0.26","-1.65","-6.10","0","0","3.24"
"Dec 23, 2025 8:02:05 AM PST","25187401591","Order","112-6732348-9209802","AXE-WS-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","COPPERAS COVE","TX","76522","MarketplaceFacilitator","29.99","2.47","0","0","0","0","0","0","0","0","-2.47","-4.50","-6.44","0","0","19.05"
"Dec 23, 2025 8:05:17 AM PST","25187401591","Order","114-6740735-5608247","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","COVINGTON","LA","70433","MarketplaceFacilitator","36.94","3.08","6.99","0","0","0","0","0","-10.68","0","-3.08","-4.99","-6.44","0","0","21.82"
"Dec 23, 2025 8:09:41 AM PST","25187401591","Order","113-1100300-8794628","CP-A-K-U","Grumpy Bear Camping Axe & Sickle Set - Dual Outdoor Tools for Camping, Survival & Bushcraft | High Carbon Steel Camping Axe & Hatchet Combo | Black Ox","1","amazon.com","Standard Orders","Amazon","LAYTON","UT","84041","MarketplaceFacilitator","14.99","1.09","0.50","0","0","0","0","0","-0.50","0","-1.09","-2.25","-5.84","0","0","6.90"
