"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Dec 4, 2025 4:29:37 a.m. PST","25070279451","Order","702-6165117-3751468","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Calgary","AB","T2K 1A","Combined TCS+MTC","25.73","1.29","0","0","0","0","0","0","0","0","-1.29","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 4:35:32 a.m. PST","25070279451","Order","702-3803398-7345016","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Quebec","Quebec","G1P 4A","Combined TCS+MTC","25.73","3.85","0","0","0","0","0","0","0","0","-3.85","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 4:46:54 a.m. PST","25070279451","Order","701-4471742-7025063","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Calgary","Alberta","T2Z 0R","Combined TCS+MTC","25.73","1.29","0","0","0","0","0","0","0","0","-1.29","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 5:04:00 a.m. PST","25070279451","Order","701-3444538-3812222","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Leamington","Ontario","N8H 4B","Combined TCS+MTC","25.73","3.34","0","0","0","0","0","0","0","0","-3.34","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 5:06:38 a.m. PST","25070279451","Order","702-8968378-9161041","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Bowmanville","Ontario","L1C 4T","Combined TCS+MTC","25.73","3.34","0","0","0","0","0","0","0","0","-3.34","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 5:09:10 a.m. PST","25070279451","Order","701-7516555-5975449","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Blainville","Quebec","J7C 5A","Combined TCS+MTC","28.49","4.27","0","0","0","0","0","0","0","0","-4.27","-4.27","-7.13","0","0","17.09"
"Dec 4, 2025 5:34:36 a.m. PST","25070279451","Order","702-5758913-4453815","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Kitchener","Ontario","N2P 2K","Combined TCS+MTC","25.73","3.34","0","0","0","0","0","0","0","0","-3.34","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 5:35:56 a.m. PST","25070279451","Order","702-5402852-8442656","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Embrun","Ontario","K0A 1W","Combined TCS+MTC","25.73","3.34","0","0","0","0","0","0","0","0","-3.34","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 5:53:18 a.m. PST","25070279451","Order","701-6928715-5967408","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Dartmouth","Nova Scotia","B3A 2T","Combined TCS+MTC","25.73","3.60","0","0","0","0","0","0","0","0","-3.60","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 6:15:59 a.m. PST","25070279451","Order","702-9608214-5605058","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Nanaimo","British Columbia","V9X 1M","Combined TCS+MTC","25.73","3.09","0","0","0","0","0","0","0","0","-3.09","-3.86","-7.65","0","0","14.22"
