"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 21, 2025 6:03:01 p.m. PST","24967064061","Order","S01-0639470-7464468","KF04-BBJ","Dream Reach Meat Bone Cleaver Knife for Meat Cutting Handmade Heavy Duty Butcher Axes Hand Forged Full Tang Chopper for Kitchen Outdoor BBQ Chef Gifts Idea Men Black","1","siprod.stores.amazon.ca","Amazon","HAMILTON","ON","L9C 2G","","0","0","0","0","0","0","0","0","0","0","0","0","-3.82","0","0","-3.82"
"Nov 21, 2025 6:03:01 p.m. PST","24967064061","Order","S01-0639470-7464468","","FBA transportation fee","","siprod.stores.amazon.ca","Amazon","HAMILTON","ON","L9C 2G","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-8.27","-8.27"
"Nov 21, 2025 6:52:27 p.m. PST","24967064061","Order","701-4849007-4754603","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Saint-Jean-Sur-Richelieu","Quebec","J2W 2G","Combined TCS+MTC","29.99","4.49","0","0","0","0","0","0","0","0","-4.49","-4.50","-7.65","0","0","17.84"
"Nov 21, 2025 9:26:32 p.m. PST","24967064061","Order","701-6950671-9282662","HS1901","Dream Reach 6"" Professional Hair Cutting Scissors Japan 440C Steel Thinning Scissor for Men/Women Cutting for Salon/Barber/Home (Straight Scissors)","1","amazon.ca","Amazon","Longueuil","Quebec","J4M 2A","Combined TCS+MTC","43.99","5.93","0","0","0","0","0","0","-4.40","0","-5.93","-5.94","-6.49","0","0","27.16"
"Nov 21, 2025 9:39:48 p.m. PST","24967064061","Refund","702-6398302-1024260","KF05-BBJ","Dream Reach Meat Cleaver Knife Heavy Duty Bone Chopper High Carbon Steel Butcher Axe Bone Cutting Knife Hand Forged Butcher Knife for Kitchen Outdoor","1","amazon.ca","Amazon","Saint-Leonard","Quebec","H1S 1N","Combined TCS+MTC","-35.69","-5.34","-3.49","0","0","0","0","0","3.49","0","5.34","4.28","0","0","0","-31.41"
"Nov 21, 2025 11:05:06 p.m. PST","24967064061","Order","702-8244803-4963417","CD-5RZQ-GSIY","Dream Reach 8.0 Inch Twin Tailed Rainbow Curved Blade Pet Grooming Scissors Dog Hair Cutting Shears with Case (Curved Scissors)","1","amazon.ca","Amazon","St Catharines","Ontario","L2P 2T","Combined TCS+MTC","39.99","4.68","0","0","0","0","0","0","-4.00","0","-4.68","-5.40","-6.49","0","0","24.10"
"Nov 22, 2025 12:33:45 a.m. PST","24967064061","Order","701-7126016-1865807","KF04-BBJ","Dream Reach Meat Bone Cleaver Knife for Meat Cutting Handmade Heavy Duty Butcher Axes Hand Forged Full Tang Chopper for Kitchen Outdoor BBQ Chef Gifts","1","amazon.ca","Amazon","Edmonton","Alberta","T6V 1T","Combined TCS+MTC","34.99","1.75","3.93","0","0","0","0","0","-3.93","0","-1.75","-5.25","-8.74","0","0","21.00"
"Nov 22, 2025 2:38:47 a.m. PST","24967064061","Order","701-3896220-0249021","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Vancouver","British Columbia","V6B 6A","Combined TCS+MTC","29.99","3.60","6.99","0","0","0","0","0","-6.99","0","-3.60","-4.50","-8.19","0","0","17.30"
"Nov 22, 2025 2:46:30 a.m. PST","24967064061","Amazon fees","2f51ba77-3a9c-4106-98eb-4314dfd837cb","","Deal participation fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","-5.00","0","0","0","-5.00"
"Nov 22, 2025 2:49:06 a.m. PST","24967064061","Amazon fees","2f51ba77-3a9c-4106-98eb-4314dfd837cb","","Deal performance-based fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","-2.06","0","0","0","-2.06"
"Nov 22, 2025 3:28:36 a.m. PST","24967064061","Order","701-6474677-9130613","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Calgary","Alberta","T3B 6A","Combined TCS+MTC","29.99","1.50","0","0","0","0","0","0","0","0","-1.50","-4.50","-7.65","0","0","17.84"
"Nov 22, 2025 3:30:37 a.m. PST","24967064061","Order","702-6398302-1024260","KF05-BBJ","Dream Reach Meat Cleaver Knife Heavy Duty Bone Chopper High Carbon Steel Butcher Axe Bone Cutting Knife Hand Forged Butcher Knife for Kitchen Outdoor","1","amazon.ca","Amazon","Saint-Leonard","Quebec","H1S 1N","Combined TCS+MTC","35.69","5.34","3.49","0","0","0","0","0","-3.49","0","-5.34","-5.35","-9.58","0","0","20.76"
"Nov 22, 2025 4:02:56 a.m. PST","24967064061","Order","702-7558898-0065828","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Larder Lake","Ontario","P0K 1L","Combined TCS+MTC","37.99","4.94","3.27","0","0","0","0","0","-3.27","0","-4.94","-5.70","-7.65","0","0","24.64"
"Nov 22, 2025 4:05:37 a.m. PST","24967064061","Order","701-6391077-5060234","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Calgary","Alberta","T2T 2P","Combined TCS+MTC","37.99","1.90","0","0","0","0","0","0","0","0","-1.90","-5.70","-7.65","0","0","24.64"
"Nov 22, 2025 6:28:48 a.m. PST","24967064061","Order","702-9066921-2905805","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Moncton","New Brunswick","E1C 1L","Combined TCS+MTC","37.99","5.70","0","0","0","0","0","0","0","0","-5.70","-5.70","-7.65","0","0","24.64"
